x_,y_,t_,id
593215.495534058,4738711.54155907,2011/02/11 18:06:14+00,1072
593226.938198815,4738718.22694525,2011/02/11 18:10:09+00,1072
593217.005234176,4738711.19544766,2011/02/11 18:20:59+00,1072
593218.416142125,4738661.27909762,2011/02/11 18:41:31+00,1072
593197.551983705,4738690.1964295,2011/02/11 19:41:11+00,1072
593209.49310822,4738696.92184147,2011/02/11 19:50:58+00,1072
593126.845286688,4738683.16588085,2011/02/11 20:01:13+00,1072
593974.993270071,4739336.8820126,2011/02/12 23:31:32+00,1072
593967.683677995,4739504.13786614,2011/02/12 23:50:57+00,1072
593968.531289975,4739492.35412146,2011/02/13 00:00:13+00,1072
593967.946127022,4739508.28423621,2011/02/13 00:10:38+00,1072
593961.359852958,4739512.07070093,2011/02/13 00:20:19+00,1072
593953.909146069,4739522.27616066,2011/02/13 00:30:08+00,1072
593974.343802874,4739490.13426503,2011/02/13 00:40:40+00,1072
593959.078266846,4739526.45608024,2011/02/13 00:50:52+00,1072
593912.552959712,4739642.15354311,2011/02/13 07:30:30+00,1072
593753.502595022,4739948.01022382,2011/02/13 07:41:04+00,1072
593469.287757109,4740212.46548275,2011/02/13 07:50:16+00,1072
593266.60972428,4740192.07152561,2011/02/13 08:00:16+00,1072
593372.974772936,4739679.07317134,2011/02/13 08:20:46+00,1072
593372.524353174,4739686.36414528,2011/02/13 08:30:21+00,1072
593379.913480142,4739678.211983,2011/02/13 08:40:10+00,1072
593632.173469559,4739578.90798116,2011/02/13 08:50:21+00,1072
594080.847189601,4739456.43415023,2011/02/13 09:00:29+00,1072
594078.292649832,4739451.24578803,2011/02/13 22:50:56+00,1072
594082.448115715,4739468.5733935,2011/02/13 23:30:43+00,1072
594276.077254838,4739100.08827856,2011/02/13 23:41:02+00,1072
594216.792638856,4738699.21517667,2011/02/13 23:50:34+00,1072
594002.743986711,4738406.27673284,2011/02/14 00:00:49+00,1072
593629.805181529,4738213.66783828,2011/02/14 00:10:28+00,1072
593227.049953442,4738207.12358255,2011/02/14 00:20:20+00,1072
592761.399395055,4738497.30262255,2011/02/14 00:31:20+00,1072
592449.271947799,4738621.68128885,2011/02/14 00:40:55+00,1072
592413.908817638,4738675.61850932,2011/02/14 00:50:45+00,1072
592446.536195231,4738686.02955307,2011/02/14 01:00:52+00,1072
592422.698744916,4738670.3496107,2011/02/14 01:10:10+00,1072
592431.991500913,4738691.03247122,2011/02/14 01:20:20+00,1072
592426.479880949,4738676.2867836,2011/02/14 01:30:53+00,1072
592106.422641445,4738769.60915172,2011/02/14 01:40:19+00,1072
591899.629425457,4738693.135815,2011/02/14 01:50:44+00,1072
